id,time_step,birth_time,death_time,x,y,next_id,prev_id
0,0,0,31,309,391,124,1
0,1,0,31,310,390,124,1
0,2,0,31,311,389,124,1
0,3,0,31,311,388,152,1
0,4,0,31,311,387,152,1
0,5,0,31,312,387,152,1
0,6,0,31,313,387,152,1
0,7,0,31,313,386,152,1
0,8,0,31,314,387,152,1
0,9,0,31,315,387,152,1
0,10,0,31,316,386,152,1
0,11,0,31,317,386,152,1
0,12,0,31,318,385,152,1
0,13,0,31,319,385,152,1
0,14,0,31,320,385,222,1
0,15,0,31,321,385,222,223
0,16,0,31,322,385,238,223
0,17,0,31,323,385,123,223
0,18,0,31,324,385,253,223
0,19,0,31,323,384,253,223
0,20,0,31,324,384,123,223
0,21,0,31,323,383,123,223
0,22,0,31,324,383,123,223
0,23,0,31,323,382,123,223
0,24,0,31,324,381,123,223
0,25,0,31,325,381,123,2
0,26,0,31,326,380,342,2
0,27,0,31,327,380,342,2
0,28,0,31,328,379,342,2
0,29,0,31,329,378,342,2
0,30,0,31,330,379,342,368
1,0,0,15,316,386,0,2
1,1,0,15,317,385,0,2
1,2,0,15,318,385,0,2
1,3,0,15,319,385,0,2
1,4,0,15,320,385,0,2
1,5,0,15,321,385,0,2
1,6,0,15,322,385,0,2
1,7,0,15,323,386,0,2
1,8,0,15,322,385,0,2
1,9,0,15,323,385,0,2
1,10,0,15,324,386,0,2
1,11,0,15,325,386,0,2
1,12,0,15,324,385,0,2
1,13,0,15,325,386,0,2
1,14,0,15,326,386,0,2
2,0,0,30,328,386,1,3
2,1,0,30,329,386,1,3
2,2,0,30,330,385,1,3
2,3,0,30,331,386,1,3
2,4,0,30,330,385,1,3
2,5,0,30,331,385,1,3
2,6,0,30,332,386,1,3
2,7,0,30,333,386,1,3
2,8,0,30,332,385,1,3
2,9,0,30,333,385,1,3
2,10,0,30,334,386,1,3
2,11,0,30,335,386,1,3
2,12,0,30,336,386,1,3
2,13,0,30,337,385,1,3
2,14,0,30,338,386,1,3
2,15,0,30,337,385,223,3
2,16,0,30,338,386,223,3
2,17,0,30,339,387,223,3
2,18,0,30,339,386,223,3
2,19,0,30,338,385,223,3
2,20,0,30,339,385,223,3
2,21,0,30,338,384,223,3
2,22,0,30,339,384,223,3
2,23,0,30,340,384,223,300
2,24,0,30,339,383,223,300
2,25,0,30,338,382,0,300
2,26,0,30,337,380,0,300
2,27,0,30,336,379,0,300
2,28,0,30,336,378,0,300
2,29,0,30,335,377,0,300
3,0,0,23,341,387,2,4
3,1,0,23,340,386,2,4
3,2,0,23,339,385,2,132
3,3,0,23,340,386,2,132
3,4,0,23,341,385,2,132
3,5,0,23,342,386,2,160
3,6,0,23,342,385,2,160
3,7,0,23,343,386,2,160
3,8,0,23,342,385,2,160
3,9,0,23,343,385,2,160
3,10,0,23,344,386,2,160
3,11,0,23,343,385,2,160
3,12,0,23,342,386,2,160
3,13,0,23,343,385,2,160
3,14,0,23,344,386,2,160
3,15,0,23,345,386,2,160
3,16,0,23,346,387,2,160
3,17,0,23,347,387,2,160
3,18,0,23,346,386,2,160
3,19,0,23,345,385,2,160
3,20,0,23,346,385,2,160
3,21,0,23,347,385,2,160
3,22,0,23,346,384,2,160
4,0,0,8,352,386,3,5
4,1,0,8,353,386,3,5
4,2,0,8,354,387,132,5
4,3,0,8,354,386,132,5
4,4,0,8,355,386,132,5
4,5,0,8,356,387,160,5
4,6,0,8,355,386,160,5
4,7,0,8,356,387,160,5
5,0,0,16,365,387,4,6
5,1,0,16,364,386,4,6
5,2,0,16,365,387,4,6
5,3,0,16,364,386,4,6
5,4,0,16,365,387,4,6
5,5,0,16,366,387,4,6
5,6,0,16,367,387,4,6
5,7,0,16,368,387,4,6
5,8,0,16,369,387,176,6
5,9,0,16,370,387,176,6
5,10,0,16,371,387,176,6
5,11,0,16,372,387,176,6
5,12,0,16,373,387,176,6
5,13,0,16,374,387,176,6
5,14,0,16,375,387,220,6
5,15,0,16,376,388,220,6
6,0,0,22,372,387,5,7
6,1,0,22,371,386,5,7
6,2,0,22,372,387,5,7
6,3,0,22,371,386,5,7
6,4,0,22,372,387,5,7
6,5,0,22,373,386,5,7
6,6,0,22,374,387,5,7
6,7,0,22,375,387,5,7
6,8,0,22,376,387,5,7
6,9,0,22,377,387,5,7
6,10,0,22,378,387,5,191
6,11,0,22,379,387,5,191
6,12,0,22,380,387,5,191
6,13,0,22,381,387,5,191
6,14,0,22,382,388,5,191
6,15,0,22,383,388,5,191
6,16,0,22,382,387,220,191
6,17,0,22,383,387,220,191
6,18,0,22,384,387,220,191
6,19,0,22,385,387,220,191
6,20,0,22,386,387,220,191
6,21,0,22,387,387,274,191
7,0,0,10,380,387,6,8
7,1,0,10,379,386,6,8
7,2,0,10,380,386,6,8
7,3,0,10,381,387,6,8
7,4,0,10,380,386,6,8
7,5,0,10,381,386,6,8
7,6,0,10,382,386,6,8
7,7,0,10,383,387,6,8
7,8,0,10,382,386,6,8
7,9,0,10,383,387,6,8
8,0,0,-1,389,387,7,9
8,1,0,-1,390,387,7,9
8,2,0,-1,389,386,7,9
8,3,0,-1,390,386,7,9
8,4,0,-1,391,387,7,9
8,5,0,-1,392,387,7,9
8,6,0,-1,391,386,7,9
8,7,0,-1,392,386,7,9
8,8,0,-1,393,387,7,9
8,9,0,-1,394,387,7,9
8,10,0,-1,395,387,191,9
8,11,0,-1,396,387,191,9
8,12,0,-1,397,387,191,9
8,13,0,-1,398,387,191,9
8,14,0,-1,399,388,191,9
8,15,0,-1,400,388,191,198
8,16,0,-1,401,387,191,198
8,17,0,-1,402,387,191,198
8,18,0,-1,403,387,191,198
8,19,0,-1,403,389,191,198
8,20,0,-1,404,389,191,198
8,21,0,-1,405,388,191,198
8,22,0,-1,404,387,191,288
8,23,0,-1,405,387,191,198
8,24,0,-1,406,387,191,198
8,25,0,-1,405,386,191,198
8,26,0,-1,406,386,191,198
8,27,0,-1,405,385,343,198
8,28,0,-1,406,385,343,198
8,29,0,-1,407,384,343,198
8,30,0,-1,406,383,343,198
8,31,0,-1,407,383,343,198
8,32,0,-1,408,383,343,198
8,33,0,-1,407,382,343,198
8,34,0,-1,406,381,343,198
8,35,0,-1,407,381,343,198
8,36,0,-1,406,380,343,198
8,37,0,-1,407,380,343,198
8,38,0,-1,406,378,343,198
8,39,0,-1,405,377,343,198
8,40,0,-1,406,378,343,198
8,41,0,-1,406,377,343,198
8,42,0,-1,405,376,343,198
8,43,0,-1,404,375,343,198
8,44,0,-1,404,374,343,198
8,45,0,-1,404,373,343,198
8,46,0,-1,405,370,343,198
8,47,0,-1,403,368,343,198
8,48,0,-1,403,367,343,198
8,49,0,-1,403,366,581,198
8,50,0,-1,403,363,581,598
8,51,0,-1,402,362,581,598
8,52,0,-1,403,362,581,598
8,53,0,-1,404,363,581,638
8,54,0,-1,405,364,581,198
8,55,0,-1,403,366,581,198
8,56,0,-1,402,370,581,198
8,57,0,-1,403,372,679,198
8,58,0,-1,403,375,679,198
8,59,0,-1,404,377,679,198
8,60,0,-1,404,378,679,732
8,61,0,-1,406,380,679,198
8,62,0,-1,407,381,679,198
8,63,0,-1,408,382,679,198
8,64,0,-1,409,382,679,198
8,65,0,-1,410,383,679,198
8,66,0,-1,411,384,679,198
8,67,0,-1,412,384,679,198
8,68,0,-1,414,386,679,198
8,69,0,-1,415,387,679,198
8,70,0,-1,416,387,679,198
8,71,0,-1,417,387,679,198
