id,time_step,birth_time,death_time,x,y,prev_id,next_id
0,0,0,-1,537,243,113,1
0,1,0,-1,538,242,113,1
0,2,0,-1,539,241,113,1
0,3,0,-1,540,241,113,1
0,4,0,-1,541,240,113,1
0,5,0,-1,542,239,113,1
0,6,0,-1,543,238,113,1
0,7,0,-1,544,238,113,1
0,8,0,-1,545,237,113,1
0,9,0,-1,546,237,113,1
0,10,0,-1,546,236,113,1
0,11,0,-1,547,237,113,1
0,12,0,-1,547,236,113,1
0,13,0,-1,548,236,113,1
0,14,0,-1,549,237,113,1
0,15,0,-1,550,237,113,1
0,16,0,-1,551,238,113,1
0,17,0,-1,552,238,113,1
0,18,0,-1,553,238,113,1
0,19,0,-1,554,238,113,1
0,20,0,-1,555,239,113,1
0,21,0,-1,556,239,113,1
0,22,0,-1,557,239,113,1
0,23,0,-1,558,239,113,1
0,24,0,-1,559,240,113,1
0,25,0,-1,560,240,113,1
0,26,0,-1,561,240,113,1
0,27,0,-1,562,240,113,1
0,28,0,-1,563,240,113,1
0,29,0,-1,564,240,113,1
0,30,0,-1,565,241,113,1
0,31,0,-1,564,240,113,1
0,32,0,-1,565,241,113,1
0,33,0,-1,566,241,113,1
0,34,0,-1,567,241,113,1
0,35,0,-1,568,241,113,1
0,36,0,-1,569,241,113,1
0,37,0,-1,570,241,113,1
0,38,0,-1,571,241,113,1
0,39,0,-1,572,241,113,1
0,40,0,-1,573,241,113,1
0,41,0,-1,574,241,113,1
0,42,0,-1,575,241,113,1
0,43,0,-1,576,241,113,1
0,44,0,-1,577,241,113,1
0,45,0,-1,578,241,113,1
0,46,0,-1,579,241,113,2
0,47,0,-1,580,241,113,2
0,48,0,-1,581,241,113,2
0,49,0,-1,582,241,113,2
0,50,0,-1,583,241,113,2
0,51,0,-1,584,241,113,2
0,52,0,-1,585,241,113,2
0,53,0,-1,586,241,113,2
0,54,0,-1,587,241,113,2
0,55,0,-1,588,241,113,2
0,56,0,-1,589,241,113,2
0,57,0,-1,590,241,113,2
0,58,0,-1,591,242,113,2
0,59,0,-1,590,241,113,2
0,60,0,-1,591,242,113,2
0,61,0,-1,590,241,113,2
0,62,0,-1,591,241,113,2
0,63,0,-1,592,241,113,2
0,64,0,-1,593,241,113,2
0,65,0,-1,594,241,113,2
0,66,0,-1,595,241,113,2
0,67,0,-1,596,241,113,2
0,68,0,-1,597,241,113,2
0,69,0,-1,598,241,113,2
0,70,0,-1,599,241,113,2
0,71,0,-1,600,241,113,2
0,72,0,-1,601,241,113,2
0,73,0,-1,602,241,113,2
0,74,0,-1,603,241,113,2
0,75,0,-1,604,241,113,2
0,76,0,-1,605,241,113,627
0,77,0,-1,606,241,113,627
0,78,0,-1,607,241,113,627
0,79,0,-1,608,241,113,627
0,80,0,-1,609,241,113,627
0,81,0,-1,610,242,113,627
0,82,0,-1,609,241,113,627
0,83,0,-1,610,242,113,627
0,84,0,-1,611,242,113,627
0,85,0,-1,612,242,113,627
0,86,0,-1,613,243,113,627
0,87,0,-1,614,243,113,627
0,88,0,-1,615,243,113,627
0,89,0,-1,616,243,113,627
0,90,0,-1,617,243,113,627
0,91,0,-1,618,244,113,627
0,92,0,-1,617,243,113,627
0,93,0,-1,618,243,113,627
0,94,0,-1,619,244,113,627
0,95,0,-1,620,244,113,627
0,96,0,-1,621,244,113,627
0,97,0,-1,622,244,113,627
0,98,0,-1,623,244,113,627
0,99,0,-1,624,244,113,627
0,100,0,-1,625,245,113,627
1,0,0,46,544,237,0,2
1,1,0,46,545,236,0,2
1,2,0,46,546,236,0,2
1,3,0,46,547,236,0,2
1,4,0,46,547,235,0,2
1,5,0,46,548,235,0,2
1,6,0,46,549,235,0,2
1,7,0,46,550,235,0,2
1,8,0,46,551,235,0,2
1,9,0,46,552,235,0,2
1,10,0,46,553,235,0,2
1,11,0,46,554,235,0,2
1,12,0,46,555,235,0,2
1,13,0,46,556,235,0,2
1,14,0,46,557,236,0,2
1,15,0,46,558,236,0,2
1,16,0,46,559,237,0,2
1,17,0,46,560,237,0,2
1,18,0,46,561,238,0,2
1,19,0,46,562,238,0,2
1,20,0,46,563,238,0,2
1,21,0,46,564,239,0,2
1,22,0,46,565,239,0,2
1,23,0,46,566,239,0,2
1,24,0,46,567,240,0,2
1,25,0,46,568,240,0,2
1,26,0,46,569,240,0,2
1,27,0,46,570,241,0,2
1,28,0,46,569,240,0,2
1,29,0,46,570,240,0,2
1,30,0,46,571,241,0,2
1,31,0,46,572,241,0,2
1,32,0,46,573,241,0,2
1,33,0,46,574,241,0,2
1,34,0,46,575,241,0,2
1,35,0,46,576,241,0,2
1,36,0,46,577,241,0,2
1,37,0,46,578,241,0,2
1,38,0,46,579,241,0,2
1,39,0,46,580,242,0,2
1,40,0,46,579,241,0,2
1,41,0,46,580,241,0,2
1,42,0,46,581,242,0,2
1,43,0,46,580,241,0,2
1,44,0,46,581,241,0,2
1,45,0,46,582,242,0,2
2,0,0,76,550,234,1,3
2,1,0,76,551,234,1,3
2,2,0,76,552,235,1,3
2,3,0,76,552,234,1,3
2,4,0,76,553,234,1,3
2,5,0,76,554,234,1,3
2,6,0,76,555,234,1,3
2,7,0,76,556,234,1,3
2,8,0,76,557,234,1,3
2,9,0,76,558,234,1,3
2,10,0,76,559,234,1,3
2,11,0,76,560,234,1,3
2,12,0,76,561,235,1,3
2,13,0,76,562,235,1,3
2,14,0,76,563,236,1,3
2,15,0,76,564,236,1,3
2,16,0,76,565,237,1,3
2,17,0,76,566,237,1,3
2,18,0,76,567,238,1,3
