id,time_step,birth_time,death_time,x,y,next_id,prev_id
8,14,0,22,575,254,7,275
8,15,0,22,574,256,6,291
8,16,0,22,573,257,6,309
8,17,0,22,573,256,6,323
8,18,0,22,570,260,6,338
8,19,0,22,567,263,6,338
8,20,0,22,568,264,6,338
8,21,0,22,569,265,6,338
9,0,0,8,571,236,8,10
9,1,0,8,572,236,8,10
9,2,0,8,572,237,8,10
9,3,0,8,573,238,8,10
9,4,0,8,574,238,8,10
9,5,0,8,575,238,8,10
9,6,0,8,576,238,8,10
9,7,0,8,577,239,8,10
10,0,0,13,580,237,9,11
10,1,0,13,581,236,9,137
10,2,0,13,583,238,9,137
10,3,0,13,584,238,9,137
10,4,0,13,585,238,9,137
10,5,0,13,586,239,9,137
10,6,0,13,587,239,9,137
10,7,0,13,588,239,9,12
10,8,0,13,588,242,205,12
10,9,0,13,591,239,205,216
10,10,0,13,590,238,205,216
10,11,0,13,589,237,205,216
10,12,0,13,589,236,205,246
11,0,0,1,587,237,10,12
12,0,0,9,597,239,11,13
12,1,0,9,596,239,137,13
12,2,0,9,597,238,137,13
12,3,0,9,598,239,137,13
12,4,0,9,599,239,137,13
12,5,0,9,600,238,137,13
12,6,0,9,599,237,137,13
12,7,0,9,599,236,10,13
12,8,0,9,595,240,10,13
13,0,0,12,605,242,12,14
13,1,0,12,606,243,12,14
13,2,0,12,606,245,12,14
13,3,0,12,605,247,12,14
13,4,0,12,604,246,12,14
13,5,0,12,603,246,12,14
13,6,0,12,602,245,12,14
13,7,0,12,603,246,12,14
13,8,0,12,602,245,12,14
13,9,0,12,606,241,216,14
13,10,0,12,603,246,216,226
13,11,0,12,601,248,216,226
14,0,0,10,613,241,13,15
14,1,0,10,612,240,13,15
14,2,0,10,611,239,13,15
14,3,0,10,612,240,13,15
14,4,0,10,613,241,13,161
14,5,0,10,614,242,13,184
14,6,0,10,615,243,13,184
14,7,0,10,614,244,13,184
14,8,0,10,614,242,13,184
14,9,0,10,611,245,13,217
15,0,0,4,622,242,14,16
15,1,0,4,621,241,14,138
15,2,0,4,619,242,14,138
15,3,0,4,617,244,14,161
16,0,0,12,629,242,15,17
16,1,0,12,636,244,138,18
16,2,0,12,639,243,138,18
16,3,0,12,640,244,138,18
16,4,0,12,641,244,138,18
16,5,0,12,642,244,173,185
16,6,0,12,643,245,194,185
16,7,0,12,644,245,194,185
16,8,0,12,643,244,194,185
16,9,0,12,645,242,218,185
16,10,0,12,645,241,184,185
16,11,0,12,645,240,235,236
17,0,0,1,637,243,16,18
18,0,0,5,644,241,17,19
18,1,0,5,645,241,16,19
18,2,0,5,647,243,16,19
18,3,0,5,648,244,16,19
18,4,0,5,647,243,16,19
19,0,0,30,657,239,18,20
19,1,0,30,658,239,18,20
19,2,0,30,657,238,18,20
19,3,0,30,658,239,18,20
19,4,0,30,659,239,18,20
19,5,0,30,660,239,185,20
19,6,0,30,661,239,185,20
19,7,0,30,662,240,185,20
19,8,0,30,664,242,185,20
19,9,0,30,665,243,185,20
19,10,0,30,667,245,185,20
19,11,0,30,668,246,185,20
19,12,0,30,671,249,185,20
19,13,0,30,672,249,185,20
19,14,0,30,675,252,185,20
19,15,0,30,677,253,185,20
19,16,0,30,679,255,185,20
19,17,0,30,680,254,185,20
19,18,0,30,684,258,185,20
19,19,0,30,686,260,185,20
19,20,0,30,687,259,185,20
19,21,0,30,688,260,185,20
19,22,0,30,688,259,185,20
19,23,0,30,690,261,185,20
19,24,0,30,691,262,185,20
19,25,0,30,691,261,185,20
19,26,0,30,692,261,185,20
19,27,0,30,694,263,185,20
19,28,0,30,695,264,185,20
19,29,0,30,696,265,185,485
20,0,0,29,664,239,19,21
20,1,0,29,665,238,19,21
20,2,0,29,666,238,19,21
20,3,0,29,667,238,19,21
20,4,0,29,669,239,19,21
20,5,0,29,670,238,19,21
20,6,0,29,671,238,19,21
20,7,0,29,672,239,19,21
20,8,0,29,674,241,19,206
20,9,0,29,675,242,19,206
20,10,0,29,676,243,19,227
20,11,0,29,677,244,19,227
20,12,0,29,681,248,19,227
20,13,0,29,682,248,19,227
20,14,0,29,685,250,19,227
20,15,0,29,687,251,19,295
20,16,0,29,689,252,19,295
20,17,0,29,690,252,19,22
20,18,0,29,693,254,19,22
20,19,0,29,696,257,19,22
20,20,0,29,696,256,19,22
20,21,0,29,697,256,19,22
20,22,0,29,698,256,19,22
20,23,0,29,699,257,19,22
20,24,0,29,700,258,19,25
20,25,0,29,700,257,19,25
20,26,0,29,701,258,19,25
20,27,0,29,703,258,19,485
20,28,0,29,701,261,19,485
21,0,0,8,674,238,20,22
21,1,0,8,673,237,20,22
21,2,0,8,674,237,20,22
21,3,0,8,675,238,20,22
21,4,0,8,676,238,20,22
21,5,0,8,677,238,20,22
21,6,0,8,678,238,20,22
21,7,0,8,679,238,20,22
22,0,0,24,685,238,21,23
22,1,0,24,686,238,21,23
22,2,0,24,687,238,21,150
22,3,0,24,688,239,21,150
22,4,0,24,687,238,21,150
22,5,0,24,688,238,21,150
22,6,0,24,689,239,21,150
22,7,0,24,690,239,21,150
22,8,0,24,692,241,206,150
22,9,0,24,693,241,206,150
22,10,0,24,694,242,227,150
22,11,0,24,695,243,227,150
22,12,0,24,697,245,227,150
22,13,0,24,698,246,227,150
22,14,0,24,700,248,227,150
22,15,0,24,701,249,295,150
22,16,0,24,702,249,295,150
22,17,0,24,703,249,20,150
22,18,0,24,706,251,20,25
22,19,0,24,707,253,20,25
22,20,0,24,707,254,20,25
22,21,0,24,706,253,20,25
22,22,0,24,707,254,20,25
22,23,0,24,706,256,20,25
23,0,0,2,692,237,22,24
23,1,0,2,693,237,22,25
24,0,0,1,699,237,23,25
25,0,0,27,705,237,24,26
25,1,0,27,706,237,23,26
25,2,0,27,707,238,150,26
25,3,0,27,708,238,150,26
25,4,0,27,709,238,150,26
25,5,0,27,710,239,150,26
25,6,0,27,709,238,150,26
25,7,0,27,710,239,150,26
25,8,0,27,711,240,150,26
25,9,0,27,712,241,150,26
25,10,0,27,713,242,150,26
25,11,0,27,714,243,150,26
25,12,0,27,716,244,150,26
25,13,0,27,717,245,150,26
25,14,0,27,718,246,150,186
25,15,0,27,719,247,150,186
25,16,0,27,719,249,150,186
25,17,0,27,720,250,150,186
25,18,0,27,716,254,22,186
25,19,0,27,714,257,22,186
25,20,0,27,714,258,22,327
25,21,0,27,713,257,22,327
25,22,0,27,713,258,22,327
25,23,0,27,712,259,22,327
25,24,0,27,711,261,20,327
25,25,0,27,710,260,20,327
25,26,0,27,709,259,20,485
26,0,0,14,714,237,25,27
26,1,0,14,715,237,25,27
26,2,0,14,717,239,25,28
26,3,0,14,717,238,25,162
26,4,0,14,718,239,25,162
26,5,0,14,717,238,25,162
26,6,0,14,718,239,25,162
26,7,0,14,719,239,25,162
26,8,0,14,720,240,25,162
26,9,0,14,721,241,25,162
26,10,0,14,722,242,25,162
26,11,0,14,723,243,25,186
26,12,0,14,722,244,25,186
26,13,0,14,723,245,25,186
27,0,0,2,720,237,26,28
27,1,0,2,721,237,26,28
28,0,0,7,730,239,27,29
